Route,Location,Latitude,Longitude,URL,votes_most_log
"Center or Regular Problem aka Fire and Ice Simulator (V1 2.6 86) 
 Left Side Arete (V1 1.9 43) 
 Low Traverse (V0 1.7 47) 
 The High Traverse (5.12b V3 2.4 32)",Tree Slab,39.65322,-105.18697,https://www.mountainproject.com/route/105755119/center-or-regular-problem-aka-fire-and-ice-simulator,1.9344984512435677
"Wisdom A.K.A. The Best Boulder Problem In Evergreen (V4 PG13 4.0 52) 
 Auxiliary Verb (V3-4 PG13 3.3 3)",The Brother's Lookout South Face,39.62589,-105.3487,https://www.mountainproject.com/route/106439214/wisdom-aka-the-best-boulder-problem-in-evergreen,1.7160033436347992
"Classic Line (V0 PG13 2.6 118) 
 Slab Traverse (V1 2.5 117) 
 V1 Slabs (V1 PG13 2.3 52)",Tree Slab,40.00095,-105.2971,https://www.mountainproject.com/route/106090438/classic-line,2.0718820073061255
"Finger Ripper (V3 2.6 114) 
 Curving Crack (V0- 2.6 134) 
 Ship's Prow (V0+ 2.5 92) 
 Ship's Prow Right (V1+ 2.3 79) 
 Ship's Prow Standard (V2- 2.5 45) 
 Ship's Prow-Gill's Reach (V2 2.9 34) 
 Ships Prow Dyno (V4-5 2.9 16) 
 Bucketland (V0- R 2.0 26)","Central Ridgeline, including Ship's Prow",40.5662,-105.1555,https://www.mountainproject.com/route/105751228/finger-ripper,2.0569048513364727
"Bearded Lady (aka Hand Crack) (V2- 2.6 80) 
 Unknown -Warm up (The Jake) (V1 PG13 2.4 83) 
 Tree Slab Dyno (V2 2.6 47) 
 Contrivance (V4 2.0 35) 
 Left Arete (V1 PG13 1.6 42) 
 Left Finger Traverse (V3- 2.1 31) 
 Evian (V3 2.6 15)",Squirming Coil Area,39.65122,-105.18622,https://www.mountainproject.com/route/106454945/bearded-lady-aka-hand-crack,1.9030899869919435
Beach Crack (V3 3.0 74),Kahuna Boulder,40.32211,-105.21435,https://www.mountainproject.com/route/105754084/beach-crack,1.8692317197309762
"Marry Ann (V1 2.7 100) 
 Low Tide (V1-2 2.2 65) 
 The Crest (V1 2.1 65) 
 Castaway (V4 2.8 46) 
 Tropical Sea (V3 2.3 53) 
 20 ft. Wave (V2- 1.9 55) 
 Breaker (V0-1 1.9 55) 
 Lagoon (V4 2.3 47) 
 Matt Damon Is Inside Of Marry Ann (V1 2.4 38) 
 Sun Baked (V2 2.3 30) 
 Six-Hour-Ride (V3 2.7 11)",Gilligan's Island,39.62586,-105.35929,https://www.mountainproject.com/route/106438916/marry-ann,2.0
"Fountain Lip Traverse (V3-4 3.4 68) 
 Rocket Ship (V1+ 2.6 111) 
 Unknown- Slab Route (V0 1.9 46)",Fountain Lip Boulder,39.35396,-104.76876,https://www.mountainproject.com/route/107006808/fountain-lip-traverse,1.8325089127062364
"Around the Horn (V1 2.8 143) 
 Low Traverse (V4 2.6 84) 
 Flightless Pigeons (V1 2.3 86) 
 Bloody Thumbs (V4 2.6 63) 
 National Geographic (V0+ 2.0 67) 
 Say Cheese (V0 2.0 51) 
 TR Wall Left Route (5.6 V0+ 2.3 38) 
 Discovery (V0 1.7 41) 
 T-Rex (V3 2.5 20)",The Non Eggs,39.62888,-105.34419,https://www.mountainproject.com/route/106508102/around-the-horn,2.155336037465062
"Slots (V4+ 2.8 115) 
 Rite of the Devil (V4 2.8 82) 
 Part of A Warmup Traverse (V1+ 2.4 113) 
 Gypsy Devil (V1 2.3 128) 
 The Left Crack (V0 1.7 42)",Warm-up Traverse Area,39.65102,-105.1866,https://www.mountainproject.com/route/106042265/slots,2.060697840353612
