Route,Location,Latitude,Longitude,URL,votes_most_log
"Mandatory Isolation (V3- 2.0 2) 
 Self-Isolation (V3 2.0 1)",Self Isolation Boulder,39.41598,-119.79978,https://www.mountainproject.com/route/119125041/mandatory-isolation,0.3010299956639812
"Number 1 (V0 2.0 2) 
 Number 3 (V1 2.0 1) 
 Number 2 (V3 2.0 1)",Tombstone,35.96475,-114.77224,https://www.mountainproject.com/route/118909862/number-1,0.3010299956639812
"Prison Wallet (V2 2.0 2) 
 Tainted Taco (V1 1.0 1)",Trapper Rocks,35.66537,-115.26756,https://www.mountainproject.com/route/121877291/prison-wallet,0.3010299956639812
Triple Shot on Ice (V2+ 2.0 2),Triple Shot Boulder,36.1623,-115.43457,https://www.mountainproject.com/route/116139913/triple-shot-on-ice,0.3010299956639812
Rhubarb Jam (V1 2.0 2),Rhubarb Jam,36.1572,-115.42873,https://www.mountainproject.com/route/116615231/rhubarb-jam,0.3010299956639812
"Left Side Dihedral (V0 2.3 3) 
 Right Side Crack (V-easy 2.0 1) 
 Left Side Left (Sit Start) (V2-3 2.0 1) 
 Left Side Left V1 (V1 2.0 1) 
 The $50 Hooker (V0-1 1.0 1)",$600 Boulder,36.16003,-115.41704,https://www.mountainproject.com/route/121476571/left-side-dihedral,0.47712125471966244
"Center Face (V1 2.0 3) 
 Right (V0 2.0 2) 
 Chimney (V0 0.5 2)",Across From Lost Creek Parking Boulder,36.15852,-115.49401,https://www.mountainproject.com/route/110279165/center-face,0.47712125471966244
"Bat Mantle (V3 2.2 5) 
 Coop's Cave (V3 2.0 3)",Beach Boulder,36.16067,-115.49763,https://www.mountainproject.com/route/121911457/bat-mantle,0.6989700043360189
"The Shitter Direct (V2 1.8 11) 
 Flush it (V1- 1.0 1)",The Shitter,36.16013,-115.41808,https://www.mountainproject.com/route/113994538/the-shitter-direct,1.041392685158225
Edge of Fright (V4 2.0 4),Edge of Fright,36.16198,-115.4119,https://www.mountainproject.com/route/118070763/edge-of-fright,0.6020599913279624
