Route,Location,Latitude,Longitude,URL
Split Tip (V3 3.3 7) Pistol Grip Traverse (V0+ 2.8 5) Dot Com (V3 2.2 5) Compressed (V2 2.0 2) Split Pea (V2-3 2.0 2),Split Tip,49.34953,-121.58144,https://www.mountainproject.com/route/106329377/split-tip
Deckard (V4 3.3 7),Penthouse,49.34958,-121.58112,https://www.mountainproject.com/route/106835254/deckard
West Wall Traverse (V0 3.5 2),The Cut,49.37238,-123.29262,https://www.mountainproject.com/route/118829318/west-wall-traverse
Exit Ramp (V0 3.5 2) The Pant Pisser (V1 3.3 3) The Chipper (V1- 3.3 3) Sausage Pickle 2000.com (V0 3.0 4) Little Chubby (V0 2.0 2),The Kelowna Boulderfields,49.75959,-119.43395,https://www.mountainproject.com/route/115439961/exit-ramp
Tick check (V4 PG13 3.5 2) 101's crack (V3 PG13 3.0 2),Crystal Rock,49.4467,-123.67949,https://www.mountainproject.com/route/114308093/tick-check
Eight Ball Side Pocket (V3 3.5 2) Eight Ball (V2 3.0 2),Peabody Boulders,49.3536,-123.23903,https://www.mountainproject.com/route/119022133/eight-ball-side-pocket
Wildcat Scat (V0 R 3.5 2) Simian (V0- 3.0 2) Centre Crack (V0 3.0 2) Simple Shine (V0- 2.7 3) Shine (V1 2.0 2),Simian,49.3525,-123.24038,https://www.mountainproject.com/route/119021866/wildcat-scat
Glacier Fresh (V2 3.5 2) Kokanee Gold (V1 2.0 2),Glacier Boulder,49.75158,-117.18046,https://www.mountainproject.com/route/114788899/glacier-fresh
Pacific Coast Highway (V3 3.5 2) V-Groove (V0 2.0 2) Grandview Estate (V3 2.0 2),Roadside Boulder,49.51589,-117.2627,https://www.mountainproject.com/route/114450706/pacific-coast-highway
Indian Paintbrush (V4 3.5 2),Meadow Boulder,49.75141,-117.18111,https://www.mountainproject.com/route/114615440/indian-paintbrush
The Money (V3 3.5 2) The Slab (V0 2.0 2),Campground,49.35065,-117.88829,https://www.mountainproject.com/route/114549213/the-money
"Luke's ""Skywalker"" Arete (V4 3.5 2)",Subterranean,49.42564,-117.72688,https://www.mountainproject.com/route/114600797/lukes-skywalker-arete
Aaron's Problem (V4 3.5 2),Wildcat,49.34459,-117.80206,https://www.mountainproject.com/route/114543708/aarons-problem
Liquid Logic (V3 3.5 2),Liquid Logic Boulders,49.4262,-117.7287,https://www.mountainproject.com/route/114600737/liquid-logic
Partiovascular (V3-4 R 3.5 2) The Witty (V1 3.5 2) Unknown4 (V3 3.5 2) Heroes of Darkness (V2-3 3.3 3) 'A Year Later' (V3+ 3.0 2) N.P.0. (V3- 3.0 2) Marauder (V1 2.0 2) Sidewinder (V3 2.0 2),Lower Slide,49.2806,-121.96014,https://www.mountainproject.com/route/112111424/partiovascular
Star child (V3 3.5 2) Drunken Lullabyes (V4 3.0 2) trevors arete (V3-4 2.5 2) Banjo Strings (V1+ 2.0 2) Hadouken (V2-3 2.0 2) Comfort Zone (V2 2.0 2) Inverted Tomahawk (V3-4 2.0 2),Stave Lake Dam Trail,49.2341,-122.3507,https://www.mountainproject.com/route/108305701/star-child
Cross of Iron (V3 3.5 2) Mines of Moria (V4 3.0 2),The Iron Boulder,49.3629,-121.55005,https://www.mountainproject.com/route/106338635/cross-of-iron
Japanese Cowboy (V4-5 2.9 14) Hydrogen (V2 2.7 7) The Wiz (V2 2.4 7) Rub-a-dub-dub (V4 2.3 3) Water is Life (V0 2.3 3) Mr. Green (V0 2.2 5) Typhoon (V4 2.0 3),The Clean Boulders,49.70197,-123.11779,https://www.mountainproject.com/route/113249633/japanese-cowboy
Big Boss (V4- 3.1 8) Closet Case (V1 2.0 3) Axe Hole (V0+ 2.0 3),Road Rage Sector,49.34944,-121.58155,https://www.mountainproject.com/route/106334019/big-boss
World's Best Boulder Problem (V4 3.1 7),Rock Lady,49.82692,-123.14776,https://www.mountainproject.com/route/114799345/worlds-best-boulder-problem
Hillside Strangler (V4 3.1 7),Hillside Strangler,49.34946,-121.58162,https://www.mountainproject.com/route/106678451/hillside-strangler
Rubix (V3 3.3 3) Rubix Newb (V2 2.3 3) Sugar Cube (V2 2.0 2),Cube,49.35281,-117.77087,https://www.mountainproject.com/route/114529699/rubix
No Baditudes (V1 3.3 3) Cheech (V-easy 2.0 2) Chong (V-easy 2.0 2),No Baditudes,49.34964,-121.58081,https://www.mountainproject.com/route/106618847/no-baditudes
Pure Uncut (V3 3.2 6) The Navigator (V2 3.0 2) Spring Fingers (V0+ 2.5 2) Red Tails and Pink Toe Nails (V1 2.0 2),Lounge - Left,49.34558,-117.75091,https://www.mountainproject.com/route/114537173/pure-uncut
Goo Traverse (V3 3.0 6) CNN (V1 3.0 3) Carmel (V2 2.8 4) Dominion (V2 2.0 2) Star of the Sea (V2 2.0 2),Traverse Wall,49.6464,-123.2053,https://www.mountainproject.com/route/107790248/goo-traverse
The Hoover Traverse (V1 3.0 6) Trent's Problem (V0+ 2.2 5) Marco's SDS (V3 2.0 4) One Move (V3+ 2.0 4),Hoover,49.34953,-121.58104,https://www.mountainproject.com/route/106329358/the-hoover-traverse
The Nose (V4 3.0 5) Smallville Traverse (V2- 2.8 4) Jor-El (V1 2.0 3),Smallville,49.34963,-121.58107,https://www.mountainproject.com/route/106778671/the-nose
American Trixster (V3 3.0 5) Highlighter (V1 3.0 3) Even Flow (V0 3.0 2) Swimming with the Dolphins (V2 PG13 3.0 2) Slippery When Wet (Aka: The Forgotten) (V1+ R 2.0 2) Un-Named on Seaworld (V3 2.0 2),Hillside Sector,49.34955,-121.58119,https://www.mountainproject.com/route/106778679/american-trixster
Giv'er Onions (V4 3.0 4) Hamstrong (V4 2.5 4) Gillette (V4 2.0 4),Onions Boulder,49.35798,-121.51296,https://www.mountainproject.com/route/118899371/giver-onions
T-Rex Doesn't Like Sit Starts (V3-4 3.0 4) Tropic Thunder (V4 2.8 4) Love Handles (V1 2.7 3) Stretch Marks (V2+ 2.7 3) Twinkle Toes (V4 2.3 3) Top Shelf (V4 2.0 4) Cankle Traverse (V0+ 2.0 3) Jazzercise (V2 2.0 2) Unknown** (Aka: Agent Blue) (V1 2.0 2),Lower Talus Sector,49.3495,-121.58183,https://www.mountainproject.com/route/108047962/t-rex-doesnt-like-sit-starts
Mr. K (V1 3.0 4) The Re-Education of Mr. K (V4-5 3.0 2) Final Exam (Aka: Abduction of Mr. K) (V4 2.3 3),Mr. K,49.34962,-121.58101,https://www.mountainproject.com/route/106618830/mr-k
21st Century Digital Boy (V3 3.0 3) Participaction (V4 3.0 2),Ride the Lightning,49.68321,-123.15009,https://www.mountainproject.com/route/115400062/21st-century-digital-boy
Reverse Reverse (V3 3.0 3) Pre History (V3 3.0 2) Nice Crack (V0 3.0 2) Dino Riders (V0 2.8 4) Get Low (V3 2.7 3) Layover (V1 2.3 6) Pushover (V0+ 2.1 7) Don't forget the arete (V-easy 2.3 4) Bump and Grind (V-easy 2.0 7) Frontal Lobotomy (V0 2.0 2),Warm Up Area,49.35798,-121.51294,https://www.mountainproject.com/route/118899670/reverse-reverse
in the ghetto (V3 3.0 3) left cheek (V4 3.0 2) Cracker Jack (V1-2 2.5 2) right cheek (V1+ 2.5 2) Camp Crimp (V0+ 2.0 2),Greenwood Park,49.3304,-123.05894,https://www.mountainproject.com/route/107722827/in-the-ghetto
Square Cut (V2 3.0 3),(o) Animal Magnetism,49.68262,-123.15091,https://www.mountainproject.com/route/112017261/square-cut
Cosmos (V1 3.0 3) Call of Duty (V3 3.0 3) Call of the Cosmos (V3 2.5 2),Dark Side,49.34966,-121.58048,https://www.mountainproject.com/route/107612218/cosmos
Switchblade (V4 3.0 2),Raven's Cry Connector,49.48105,-123.86617,https://www.mountainproject.com/route/119229789/switchblade
Liquid Mushrooms (V4 3.0 2) Twenty Foot Crack (V0 3.0 2) Wine and Bumps (V4 2.5 2),Ground Zero Boulder,49.3635,-121.5948,https://www.mountainproject.com/route/120339486/liquid-mushrooms
New Sheriff in Town (V1- 3.0 2) Stringer Bell (V0+ 2.5 2) Badge of Honour (V0 2.5 2) Shark Fin Soup (V3 2.3 3) The Test (V2 2.3 4) Newsroom (V0 2.0 3),Sheriff's Badge Boulders,49.68832,-123.14199,https://www.mountainproject.com/route/114116697/new-sheriff-in-town
Significant Digits (V3 3.0 2) One Wing (V3 3.0 2) Down in a Hole (V4 2.5 2) Talus Crack (V2 2.0 2),Hemlock/Slide Boulders,49.42551,-117.72788,https://www.mountainproject.com/route/114600598/significant-digits
Stingray (V4 3.0 2),The Dolphin Boulders,49.42672,-117.72814,https://www.mountainproject.com/route/114600809/stingray
The Magical Mystery Tour (V1 3.0 2),Magical Boulder,49.42486,-117.7252,https://www.mountainproject.com/route/114550638/the-magical-mystery-tour
