Route,Location,Latitude,Longitude,URL,votes_most_log
"Hairy Cleavage (V7- 3.2 46) 
 Desperado (V6 4.0 1) 
 Mini Slashface (V9 3.3 15) 
 Clamor and Filth of the Cultural Apparatus (V3 3.5 6) 
 Out of Africa (V4 2.7 18) 
 Locked and Loaded (V5- PG13 2.6 17) 
 Easy Way Out (V2 2.6 12) 
 Scarface (V11 2.8 5)",Africa Boulder,33.35637,-112.01206,https://www.mountainproject.com/route/106680671/hairy-cleavage,1.662757831681574
"Tall Cool One (V3 3.4 31) 
 Fire In The Hole (V7 3.5 6)",The High Island,34.46367,-112.43887,https://www.mountainproject.com/route/106387545/tall-cool-one,1.4913616938342726
"Razors Edge (V0+ 2.8 51) 
 Main Attraction (V4 3.2 51) 
 Arrowhead (V1-2 2.6 33) 
 Outer Limits (V0+ 2.4 30) 
 The Flake of Destiny (V5 3.3 4) 
 Grease Monkey (V3+ PG13 2.7 30) 
 Book of Fun (V0 2.0 29) 
 Air Leeches (V4 3.0 3) 
 Flake It Til You Make It (V7 3.0 2)",World Boulder,33.35722,-112.01162,https://www.mountainproject.com/route/106673421/razors-edge,1.7075701760979363
"Pencil Thin Flake (V5 3.2 47) 
 The Prow (V3 2.9 43) 
 Pencil Thin, Right Arete (V3 2.4 30)",Pencil Thin Boulder,33.6824,-112.04303,https://www.mountainproject.com/route/106408427/pencil-thin-flake,1.6720978579357175
"The Infamous Lieback (V2- 3.1 36) 
 The Slapper Problem (V2 3.0 27) 
 Liberty Rail (V6+ 4.0 2) 
 Anchor Seam (V5 3.8 4) 
 Fingerf*ck (V7 3.5 2) 
 King Richard (V4 3.5 2)",Lieback Rock,34.46732,-112.43803,https://www.mountainproject.com/route/106588277/the-infamous-lieback,1.5563025007672873
"Switched On (5.11+ V4- 3.8 27) 
 Last Day Of Summer (V3+ 3.7 37) 
 Full Value (V3+ 3.5 22) 
 Hanging on a Corner (V3+ 3.5 2) 
 Natural Disaster (V6 4.0 1)",DWS West Side,34.96125,-110.65969,https://www.mountainproject.com/route/106541703/switched-on,1.4313637641589874
"Smokey Desperado and the Sunshine Kid (V6 3.6 46) 
 Unnamed V5 (V5 2.7 12)",The Sunshine Boulder,33.67601,-112.04019,https://www.mountainproject.com/route/118212986/smokey-desperado-and-the-sunshine-kid,1.662757831681574
Alien Autopsy (V3 3.9 29),Vector Arena,33.29999,-111.05145,https://www.mountainproject.com/route/106991335/alien-autopsy,1.462397997898956
"Crimp Master Funk (V5 3.7 30) 
 Crimp Master Funk Direct (V6 3.2 10) 
 The Black Pearl (V3 2.8 19)",Delusions of Grandeur Boulder,33.34308,-112.01062,https://www.mountainproject.com/route/116209691/crimp-master-funk,1.4771212547196624
"Civil War (V6 3.5 44) 
 Brut (V9-10 3.6 5) 
 The Brute (V6 2.9 16)",The Dragon's Den,32.42418,-110.75307,https://www.mountainproject.com/route/108878271/civil-war,1.6434526764861874
"Dishwasher (V3 2.6 59) 
 The Money Shot (V4 3.7 3) 
 Taylor Is Gone (V10 3.3 4)",White Wall,35.08197,-111.60088,https://www.mountainproject.com/route/106029524/dishwasher,1.7708520116421442
"Elephant Tree (V6 3.6 38) 
 Cocaine Corner (V4 PG13 3.0 30) 
 Crackhead (V3 3.5 2) 
 Nasal Cavity (Jump Start) (V3 3.0 32) 
 Nutshell (V5 2.6 18) 
 White Men Don't Jump (Jump Start Right) (V3-4 PG13 2.9 12) 
 Rangler (V2 2.5 17) 
 Deviated Septum (V4-5 3.0 4)",The Amphitheatre,33.35623,-112.01248,https://www.mountainproject.com/route/106680615/elephant-tree,1.5797835966168101
