Route,Location,Latitude,Longitude,URL
"Chorizo Tacos (V4 2.8 38) 
 Chorizo Taco Stand (V2 2.2 28) 
 Monkeyflower (V3 2.6 20) 
 Unnamed (V1 1.9 16)",Land of the Lost Boulder,34.0261,-116.15844,https://www.mountainproject.com/route/108017981/chorizo-tacos
Left Nixon Crack (V0 PG13 3.3 27),Nixon Cracks,34.01914,-116.16419,https://www.mountainproject.com/route/114241079/left-nixon-crack
Nicole Face (V3-4 3.7 19),Feature Boulder (aka Fred Nicole Boulder),34.06942,-116.09196,https://www.mountainproject.com/route/106151277/nicole-face
X-Men (V4-5 3.2 29),X-Men Boulder,33.99662,-116.15492,https://www.mountainproject.com/route/108549284/x-men
"La Migra (V3 2.8 34) 
 Don't Mess with Texas (V1 2.2 38) 
 Western Roll (V3 2.4 19) 
 Border Patrol (V1 1.6 17)",Texas Boulder,34.0181,-116.1698,https://www.mountainproject.com/route/106136573/la-migra
The Bardini Crack (aka: Blas Beemer) (V2 2.7 37),Blas Beemer Boulder,34.02787,-116.1787,https://www.mountainproject.com/route/106118126/the-bardini-crack-aka-blas-beemer
"Chunkers (V-easy 2.5 39) 
 Patina Slab (V-easy 1.6 31) 
 Weasel World (V2 1.9 10)",Chunky Boulder,34.01842,-116.16884,https://www.mountainproject.com/route/106114361/chunkers
Coyote Corner (V1 R 3.4 20),Coyote Corner,34.02521,-116.16083,https://www.mountainproject.com/route/106693819/coyote-corner
"Intersection Boulder, Left (V0 2.3 43) 
 Intersection Boulder, Center (V2 2.1 18) 
 Intersection Mantle (V-easy 1.9 10)",Intersection Boulder,34.01512,-116.1628,https://www.mountainproject.com/route/105722809/intersection-boulder-left
Miledi (V3 R 3.7 11),Miledi Boulder,34.07547,-116.24202,https://www.mountainproject.com/route/105790036/miledi
"Morning Glory (V1 2.5 36) 
 Descent Route (V-easy 1.7 23) 
 West Arete (V0- 1.9 13)",Wave Boulder,34.0097,-116.16717,https://www.mountainproject.com/route/106294784/morning-glory
"Desert Rat Crack (V-easy 2.1 45) 
 Pothole Problem  1 (V0 2.1 34) 
 Pothole Problem  2 (V-easy 1.6 44) 
 Pothole Slab (V-easy 1.7 38) 
 Pothole Arete (V-easy 1.8 32) 
 Pothole Mantel  2 (V-easy 1.5 21) 
 Pothole Mantel #1 (V0 1.6 12)",Pothole Rock,34.01626,-116.16212,https://www.mountainproject.com/route/109792606/desert-rat-crack
