Route,Location,Latitude,Longitude,URL
"All the Kings Horses and all the Kings Men (5.7 4.0 3) (Trad, TR 1 80.0) 
 Beer for my Horses (5.8 3.3 3) (Trad, TR 1 80.0)",Dead Horse,49.29879,-121.96433,https://www.mountainproject.com/route/109072000/all-the-kings-horses-and-all-the-kings-men
Queen of Capilano (5.11b 4.0 3) (Sport 1 nan),Bowen Island,49.35099,-123.35752,https://www.mountainproject.com/route/108959571/queen-of-capilano
"The Long Haul (5.10- 4.0 3) (Sport 6 390.0) 
 The Date (5.10a 3.3 4) (Sport 3 nan) 
 The Engagement (5.10b 3.3 4) (Sport 3 120.0) 
 Four on the Side (5.10c 3.0 3) (Sport 4 nan)",Pulpit Rock,49.50698,-117.30862,https://www.mountainproject.com/route/122615673/the-long-haul
"Guaranteed Rugged (5.10c 3.2 20) (Sport 33 3524.0) 
 Lucid Dream (5.12a 3.0 2) (Sport 6 530.0) 
 Beers With Birgit (5.10a 3.0 3) (Sport 7 600.0) 
 Sneaky Pete (5.10d 2.6 9) (Sport 8 660.0)",Upper Headwall,50.85125,-121.70435,https://www.mountainproject.com/route/122451091/guaranteed-rugged
"Shoe in My Pasta (5.12a 3.8 6) (Sport 1 90.0) 
 Swedish Ticket Collectors (5.11c/d 4.0 2) (Sport 1 90.0) 
 Neomaxizoomdweebie (5.11b 3.5 12) (Sport 1 70.0) 
 So Gently We Go (5.11c 3.7 7) (Sport 1 100.0) 
 You're Only Cheating Yourself (5.12a 3.3 3) (Sport 1 90.0) 
 Bonasa Umbellus (5.11c 3.2 6) (Sport 1 90.0)",Cat Lake,49.81452,-123.11127,https://www.mountainproject.com/route/106876062/shoe-in-my-pasta
"Gang of Foreplay (5.10a 2.8 27) (Trad, Sport 2 100.0) 
 The Kip (5.7 2.2 22) (Trad, TR 1 60.0)",Island in the Sky,49.70502,-123.14252,https://www.mountainproject.com/route/107246850/gang-of-foreplay
"Wolly Bully (5.10a/b 3.7 9) (Sport 1 nan) 
 The Voices Told Me (5.9 3.1 15) (Sport 1 90.0)",Right Center,50.7525,-120.72429,https://www.mountainproject.com/route/108070956/wolly-bully
"Frayed Ends of Sanity (5.12c 4.0 2) (Sport 6 600.0) 
 Skyline Arête (5.11a A0 3.0 3) (Sport, Aid 1 130.0)",Slhanay,49.6945,-123.12156,https://www.mountainproject.com/route/110848041/frayed-ends-of-sanity
Antaeus (5.12d 4.0 2) (Sport 1 115.0),Jericho Wall,49.4496,-119.56167,https://www.mountainproject.com/route/121542519/antaeus
"The Punisher (5.12d 4.0 2) (Sport 1 45.0) 
 Cockasian Blend (5.11a 3.3 6) (Sport 1 60.0) 
 Scrotal Cancer (5.12a 3.3 3) (Sport 1 60.0) 
 Blister in the Sun (5.12a 3.0 3) (Sport 1 60.0) 
 Into the Orange (5.12a 3.0 2) (Sport 1 45.0) 
 Minor Threat (5.12a 3.0 2) (Sport 1 45.0) 
 Krymptonite (5.12c 3.0 2) (Sport 1 45.0)",(e) Little White,49.44656,-119.56245,https://www.mountainproject.com/route/120763174/the-punisher
